,Category,Content,Link,Source,Title,Unnamed: 5,Cluster
0,Business,"How the health of the economy is measured, and why the GDP calculation matters.",https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,What is GDP and how does it affect me?,,3
1,Business,Simon Clarke tells inquiry when he realised expert knew of IT bugs and how he helped halt Horizon prosecutions.,https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,Post Office 'misled and deceived me' says key lawyer,,3
2,Business,Shoplifting fell slightly last year according to official figures but remains high.,https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,Record levels of shoplifting show signs of falling,,3
3,Business,"Andrew Bailey told the BBC the recession was ""mild"" as figures on the economy are released Friday.",https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,Bank of England boss weighs in on UK economy row,,3
4,Business,"The rate at which prices are rising has dropped from record highs, but remains above the 2% target.",https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,How fast are prices rising in the UK?,,3
5,Business,"Bank of England interest rates have an impact on the mortgage, loan and savings rates for millions of people.",https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,When will interest rates come down?,,3
6,Business,"The Bank of England will decide interest rates later, but is not expected to cut them until the summer.",https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,UK interest rates expected to stay at 16-year high,,3
7,Business,The move follows Huawei's release of an AI-enabled computer powered by a chip created by Intel.,https://www.bbc.com/news/articles/cld0rxlqgggo,BBC,US revokes licences for sales of chips to Huawei ,,3
8,Entertainment,Nigerian singer Tiwa Savage talks to the BBC about her acting debut in the film Water & Garri.,https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Tiwa Savage: I always wanted to be an actor,,2
9,Entertainment,Eurovision songs have led to a political coup and been sung by a puppet over the years.,https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Eurovision 2024: Seven contentious moments from Europe’s fabulous singing show,,2
10,Entertainment,"A painting by John Constable, The Hay Wain, is being put on display in Bristol.",https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Famous Constable painting goes on display ,,2
11,Entertainment,"Nene Valley Railway is hoping to raise £300,000 to deal with ""stark financial challenges"".",https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Heritage railway faces 'unprecedented' closure risk,,2
12,Entertainment,Historians say Elgar frequently visited a friend in Settle in the 1880s and 1890s.,https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Museum plan to mark composer's links with town,,2
13,Entertainment,Family finds a child's bedroom wall art after decades and are amazed at what he produces now.,https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Boy's Robocop wall art uncovered after 33 years,,2
14,Entertainment,The pop star says he's having sleepless nights ahead of Eurovision's grand final on Saturday.,https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Olly Alexander: 'I looked up my Eurovision odds',,2
15,Entertainment,"Some 40,000 people heard legend Bruce Springsteen play classics.",https://www.bbc.com/culture/article/20240509-why-the-iconic-english-painting-the-hay-wain-by-john-constable-is-not-what-it-seems,BBC,Fans flock to see Bruce Springsteen rock Belfast ,,2
16,Politics,"In a first for the US, two Virginia schools will have their original Confederate names reinstated.",https://www.bbc.com/news/world-middle-east-68980826,BBC,Confederate names restored for two Virginia schools,,0
17,Politics,The BBC's Nada Tawfik goes through the cross-examination that the former adult-film star faced in court.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Trump's lawyers spar with Stormy Daniels in trial,,0
18,Politics,"Rescuers unable to recover bodies immediately due to harsh conditions in ""very serious terrain"".",https://www.bbc.com/news/world-middle-east-68980826,BBC,Two skiers dead and one rescued in Utah avalanche,,0
19,Politics,Roger Fortson - who was armed - was fatally shot by officers responding to a disturbance call at his home.,https://www.bbc.com/news/world-middle-east-68980826,BBC,US airman shot and killed by police in Florida,,0
20,Politics,Experts say the star witness's answers were sometimes useful - and other times completely irrelevant.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Where Stormy Daniels' testimony leaves the Trump trial,,0
21,Politics,Madeleine Westerhout tells ex-president's trial that he liked capitals and exclamation marks.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Trump's former aide tells how he dictated tweets,,0
22,Politics,"In an interview with the BBC, the US Secretary of Transportation stressed the importance of the shipping channel.",https://www.bbc.com/news/world-middle-east-68980826,BBC,Buttigieg: Baltimore channel 'ready' by end of May,,0
23,Politics,Former Nebraska Rep. Jeff Fortenberry faces another indictment over lies allegedly told to the FBI about an illegal campaign contribution.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Ex-Nebraska lawmaker indicted again accused of lying to FBI,,0
24,Sports,"The National Trust plans to plant 20,000 marsh violets, in what it says is a UK-first.",https://www.bbc.com/news/articles/cw0721l9183o,BBC,Bid to revive fortunes of rare butterfly,,1
25,Sports,Forestry and Land Scotland says hundreds of hectares have been restored at a number of locations.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,West Highland rainforest restoration targets passed,,1
26,Sports,A project aimed at improving Lower Otter Valley in east Devon is awarded government funding.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,'Heaths to sea' scheme gets funding boost,,1
27,Sports,A group of volunteers say they will work with Peterborough City Council to tidy up  a neglected pub.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,New lease of life for 'dumping ground' pub,,1
28,Sports,Marcel was discovered in a Wolverhampton conservatory and will now live at Monkey World in Dorset.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Monkey found in woman's conservatory gets new home,,1
29,Sports,A badger was found trying to follow people home from a churchyard in Bath.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Rescued badger found trying to follow people home,,1
30,Sports,The Manx Wildlife Trust's work to create a Woodland Park at Ramsey Hairpin is unveiled.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,"Opening of woodland a landmark day, charity says",,1
31,Sports,Oxfordshire-based packaging company uses a van with an onboard compactor to collect from Businesses.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Free mobile scheme to reuse waste polythene launched,,1
