url,category,heading,article
https://www.foxnews.com//politics/rita-hart-backs-down-iowa-election-challenge-miller-meeks,politics,Dem Rita Hart backs down in Iowa election challenge to Miller-Meeks amid mounting GOP pressure,"Democrat Rita Hart has formally dropped her election challenge in   to GOP Rep.  , just as Republicans turned up their public relations campaign against the potential election ""steal."" Hart officially lost Iowa's Second Congressional District race in November to Miller-Meeks by just six votes. However, she had filed a formal election contest with the House of Representatives asking for a recount that included 22 ballots that were left out of the final tally, claiming she would have prevailed. But amid a growing GOP-led campaign to quash the challenge and to pressure House Democrats to accept the election results, Hart formally announced Wednesday she will no longer try to overturn the election.  ""After many conversations with people I trust about the future of this contest, I have made the decision to withdraw my contest before the House Committee on Administration,"" Hart said in a statement Wednesday. ""Since Election Day, and throughout this entire process, my mission has been about ensuring the voices of Iowans who followed the law are not silenced. I am saddened that some Iowans’ votes will not count through no fault of their own. The work of ensuring it does not happen again will continue beyond this campaign."" Hart's announcement came the same day that GOP Leader Kevin McCarthy visited Iowa with Miller-Meeks demanding an end to the election contest, claiming the Democratic-led House was trying to steal away the election from Iowa voters. McCarthy argued that Democrats were only considering the challenge to pad out House Speaker Nancy Pelosi's very slim majority in the House. ""It's the people's house, not Pelosi's House,"" McCarthy said.  Hart acknowledged the highly charged political climate in her statement. ""Despite our best efforts to have every vote counted, the reality is that the toxic campaign of political disinformation to attack this constitutional review of the closest congressional contest in 100 years has effectively silenced the voices of Iowans,"" Hart said. ""It is a stain on our democracy that the truth has not prevailed and my hope for the future is a return to decency and civility."" Hart thanked her supporters and wished Miller-Meeks the best as she represents the district that was home to the tightest congressional race in the nation.  Miller-Meeks, a veteran, former state lawmaker and a physician, was sworn in with the rest of the Congress on Jan. 3, but her tenure in Congress was conditional on the outcome of the ongoing election contest.  In a video released via Tweet, Miller-Meeks said she was ""deeply appreciative that we're ending this now,"" and wished ""only the best"" for Hart and her family. Miller-Meeks had defended her six-vote win and said the six Democrats on the House Administration Committee reviewing Hart's contest shouldn't have the power to overturn Iowa's result.  ""People should be outraged,"" Miller-Meeks said earlier Wednesday at an event with McCarthy. ""... If six votes aren't enough to win an election then why are six members on a committee able to overturn an election?"" The House Administration Committee that was formally considering the Hart election challenge announced Wednesday the case was officially over since Hart is no longer contesting the outcome.  ""There being no contestant, there is no longer a contest, and the Committee will, accordingly, recommend that the whole House dispose of the contest and adopt a dismissal resolution reported out by the Committee,"" said Rep. Zoe Lofgren, D-Calif., the chairwoman of the committee.  There is still one other ongoing House election contest from 2020. The Republican who lost to Rep. Lauren Underwood, D-Ill., in   14th Congressional District similarly appealed the loss to the House Administration Committee before going to court.  Republican candidate Jim Oberweis lost to Underwood by more than 5,000 votes. Illinois election officials certified Underwood as the winner. While Republicans have launched a coordinated campaign against Hart's election challenge as somehow being nefarious, they've raised little concern about Oberweis's contest.  Pressed about the discrepancy Wednesday, McCarthy said it was time for Oberweis to move on. ""I believe Congresswoman Underwood won that race,"" McCarthy told Fox News. ""It was counted through the states, and she has been seated, and I don't support the challenge of that race."""
https://www.foxnews.com//politics/stephen-miller-calls-biden-infrastructure-bill-a-cost-shift,politics,Stephen Miller calls Biden infrastructure bill a 'cost shift',"Former Trump Senior Advisor Stephen Miller joined "" "" on Fox Business Wednesday and slammed   new  , calling it a cost shift, and saying ""actually no new infrastructure spending happens."""
https://www.foxnews.com//politics/first-lady-jill-biden-mocked-spanish,politics,Jill Biden mocked for botched Spanish attempt," Dr. Jill Biden’s   speech garnered attention on social media on Wednesday for what users perceived as a botched attempt to pronounce a phrase in Spanish. Biden appeared alongside California Gov. Gavin Newsom in Delano, California and spoke to farmworkers on the birthday of César Chávez, who was considered a transformational labor leader and Latin American civil rights activist. But it was the First Lady’s pronunciation of ""¡Si Se Puede!,"" which translates to ""yes we can"" in Spanish that drew criticism on Twitter.  The   also pointed to the gaffe. The phrase became popularized by Chávez and his United Farm Workers co-founder Dolores Huerta, and was used as a motto by the group in the  . It has also been adopted by other activist groups. Biden pronounced it correctly on separate occasions in the same speech, in which she also encouraged farm workers to get vaccinated. The First Lady said that Chávez is a big inspiration to the president, and noted that President Biden began his career ""inspired by the civil rights movement."" ""As president, Joe is fighting for those who often go unseen,"" Jill Biden said. ""He believes that our work must be guided by justice and humanity."""
https://www.foxnews.com//politics/ohio-lawmakers-introduce-bill-to-preemptively-ban-vaccine-passports,politics,Ohio lawmakers move to preemptively ban vaccine passports over concerns about privacy,"As America's mass   campaign against   continues to hum along, two   state legislators are planning to introduce a bill that will preemptively ban vaccine passports over concerns about privacy and government overreach.  Rep. Al Cutrona, a   who represents parts of eastern Ohio, told Fox News that vaccine passports mandated by the government would create ""privacy concerns that should be startling to anyone."" ""I want to make sure that we put a stop on this from the government,"" Rep. Cutrona -- who runs an infectious disease medical practice in Ohio -- said Wednesday. ""It's a false sense of security, a false sense of normalcy, and frankly, I think it's a very slippery slope that we're heading down."" Rep. Mike Loychik, a Republican cosponsor of Cutrona's bill, tweeted that the ""last thing we should do is follow Andrew Cuomo and New York’s example by implementing vaccine passports.""  became the first state to roll out a digital vaccine passport when it launched ""Excelsior Pass"" last week.  ""As more New Yorkers get vaccinated each day and as key public health metrics continue to regularly reach their lowest rates in months, the first-in-the-nation Excelsior Pass heralds the next step in our thoughtful, science-based reopening,""   of the vaccine passport rollout.  Several private businesses and organizations have started developing ways to confirm that someone is vaccinated, but a growing coalition of conservatives,  , and other activists have expressed concern that government-sponsored vaccine passports would be an intrusion of privacy.  Justin Amash, a former   Congressman and a Republican turned Libertarian, said he believes vaccine passports ""will have exceedingly negative consequences for society."" ""A vaccine passport — a unified, centralized system for providing or denying access to everyday activities like shopping and dining — would be a nightmare for civil liberties and privacy, and it would exacerbate existing social disparities connected to wealth, privilege, and race,"" Amash tweeted.  Jay Stanley, a senior policy analyst with the ACLU’s Speech, Privacy, and Technology Project, said he fears that a vaccine passport would be overused.  ""While there are legitimate circumstances in which people can be asked for proof of vaccination, we don’t want to turn into a checkpoint society that outlasts the danger of COVID and that casually excludes people without credentials from facilities where vaccine mandates are not highly justified,"" Stanley wrote in a blog post on Wednesday.  Several Republican lawmakers have spoken out against the passport idea in recent weeks.   said Monday that he would pass an emergency order to ban vaccine passports and encouraged the state legislature to make the ban permanent.  ""This is something that has huge privacy implications. It is not necessary to do,""  DeSantis said at a news conference Monday. ""We are not going to have you provide proof of this just to be able to live your life normally.""  that the Biden administration is working on developing vaccine passports, but White House senior adviser Andy Slavitt said Monday the federal government would not be mandating anything.  ""Unlike other parts of the world, the government here is not viewing its role as the place to create a passport, nor a place to hold the data of, of citizens,"" he said during a COVID-19 briefing at the White House. ""We view this as something that the private sector is doing and will do."" More than 150 million doses of the COVID-19 vaccine have been administered in America as of Wednesday evening, according to the CDC. "
https://www.foxnews.com//politics/kayleigh-mcenany-kamala-harris-not-visiting-border,politics,"McEnany blasts VP Harris for not visiting border, tossing 'political grenade' back to Biden","Former   press secretary Kayleigh McEnany condemned Vice President  on "" "" Wednesday for not yet visiting the southern border after Joe Biden called her the ""most qualified"" person to stop the flow of illegal immigration."
https://www.foxnews.com//politics/border-crisis-cartels-travel-agents-migrants-tony-gonzales,politics,'Cartels have turned into travel agents' for migrants trying to enter US: GOP Rep. Tony Gonzales," are acting as ""travel agents"" by organizing the flow of migrants across the border and into the U.S.,  , told "" "" Wednesday. "
https://www.foxnews.com//politics/cotton-covid-lab-leak-world-health-organization-china-sycophants,politics,"Cotton boosts COVID 'lab leak' theory, slams WHO as 'obsequious sycophants' to Chinese Communists","Senate Intelligence Committee member Tom Cotton, R-Ark., told "" "" Wednesday that a recent report from the   about the origin of   should be greeted with skepticism"
https://www.foxnews.com//media/rachel-campos-duffy-biden-infrastructure-program-road-hell,politics,Rachel Campos-Duffy: Biden put US on 'road to Hell' with 'socialist Trojan horse' infrastructure plan," gave the order to ""start paving"" the proverbial ""road to Hell"" Wednesday by announcing a massive ""  Trojan horse"" infrastructure plan, "" "" host Rachel Campos-Duffy said Wednesday.  ""[Biden says] this massive infrastructure and climate plan will rebuild the backbone of America ... He is right,"" Campos-Duffy said. ""The size of this plan is massive. It dwarfs spending for the New Deal and Great Society programs from FDR and Lyndon Johnson. ""The plan aims to modernize bridges, highways, and roads, remove lead piping and upgrade our sewer system. It throws billions into public transit programs and Amtrak and puts electric charging stations across America."" However, she added, lurking behind the standard infrastructure-related expenditures are climate-centric economic policies and other proposals that will be detrimental to Middle America. ""No one should expect that if this bill gets passed that their commute will get shorter or their airport will run more efficiently or that their gas prices will go lower,"" she said. ""Just like the $1.9 trillion COVID relief bill that had little to do with actual COVID relief, only a fraction of this infrastructure bill deals with actual infrastructure and transportation."" As proof, Campos-Duffy cited $400 billion earmarked for Medicaid, $20 billion for reparations for communities that have been divided by the growth of the highway system and $10 billion for a Civilian Climate Corps. Critics have for years decried the work of urban planners like New York's Robert Moses, whose mid-20th-Century projects like Interstate 95's Cross Bronx Expressway and the ultimately-truncated Arthur Sheridan Expressway sliced through several borough neighborhoods. In a   the White House described the Civilian Climate Corps Initiative as putting ""a new generation of Americans to work conserving and restoring public lands and waters, increasing reforestation, increasing carbon sequestration in the agricultural sector, protecting biodiversity, improving access to recreation, and addressing the changing climate."" On ""Fox News Primetime"", Campos-Duffy added that Biden's infrastructure package is ""just the tip of his spending spree: a down payment on the Green New Deal."" ""Businesses will be taxed more, too. If he [Biden] gets his way, America's corporate tax rate will be higher than Communist China,"" she warned. ""His plan could drive businesses overseas and they will take their jobs with them, even if he tries to penalize them for doing so."""
https://www.foxnews.com//food-drink/dunkin-charli-damelio-merchandise-line,lifestyle,"Dunkin’, Charli D’Amelio release scrunchies, onesie in new merch line","Charli D’Amelio’s partnership with   now includes more than just  . On Tuesday, Dunkin’ released a line of   with D’Amelio, a 16-year-old  , who already has two signature drinks with the coffee chain.  The   Charli x Dunkin’ line includes a onesie, a set of scrunchies, shoelaces, a tumbler, an iPhone case, a keychain and a cold brew tap, according to the  . The items range in price from $16 for the keychain, scrunchies and two pairs of shoelaces, to $100 for the cold brew tap. According to Dunkin’s announcement, the merchandise will only be available while supplies last. ""Our fans can’t get enough of the genuine love between Charli and Dunkin’, so creating the Charli x Dunkin’ merch collection felt like the perfect next step in our relationship,""  Kemma Kefalas, Dunkin’s brand engagement manager said in a statement. ""This collection is our way of sprinkling more Charli and Dunkin’ love onto our fans.""   D’Amelio -- who has more than 111.7 million followers on TikTok --   of her merch with a video on the platform, showing her wearing the Dunkin’ onesie.  Since she posted it on Tuesday, the clip has been viewed more than 15.4 million times.  D’Amelio first   in September 2020 for the release of a signature drink with her name. ""The Charli,"" a cold brew with whole milk and three pumps of caramel swirl, is reportedly D’Amelio’s go-to drink at the coffee chain.     Dunkin’ expanded their partnership again in February, with the release of a ""remix"" drink, the ""Charli Cold Foam,"" which is just like ""The Charli"" but is topped with Dunkin’s Sweet Cold Foam and cinnamon sugar. "
https://www.foxnews.com//lifestyle/bride-groom-help-man-hit-car-wedding-photos,politics,Bride and groom pause wedding photos to help man hit by car,"A bride and groom are being praised for their "" "" after they paused their   photos to help a man who had been hit by a car.  Detention Deputy Taylor Rafferty and her husband Deputy Chris Rafferty are   with the Marion County Sheriff’s Office (MCSO) in  . On Monday, the sheriff’s office   the couple and their wedding party -- who are also law enforcement officers -- for helping the man during the Raffertys’ December wedding in Ocala, Florida.  ""When you choose a career in law enforcement, you choose to never truly be off duty because anything can happen at any moment,"" the MCSO wrote, in part, on Facebook. ""Unfortunately, danger and tragedy don’t take breaks, so even on your days off a law enforcement officer’s duty is to protect and serve.""   Though the couple ""expected a typical wedding day,"" the Raffertys ended up fulfilling their duty during their wedding. ""While taking photo of the bride, groom, and the wedding party, a man was struck by a car on the square in Downtown Ocala,"" the MCSO wrote. ""The entire wedding party -- fully dressed in wedding attire -- responded and rendered aid to the man who had been injured.""   According to the Facebook post, one of the bridesmaids held the man’s head while the bride, Taylor Rafferty, directed traffic.  ""Fortunately, the man was not severely injured and after he was transported by medics, the events of the wedding proceeded!"" the MCSO wrote. ""Our greatest admiration goes out to the Raffertys and every member of their wedding party, who without a second thought took action to assist everyone involved in this incident,"" the MCSO added. ""Thank you for dedicated service to our community in every way you know how!"""
